"CIF/NIF","GEN_EMP_RAZ_SOC","GEN_EMP_RAZ_NOMBRE_VIA","GEN_EMP_RAZ_COD_MUNIC","GEN_EMP_RAZ_COD_POSTAL","GEN_EMP_RAZ_TLF1","GEN_EMP_RAZ_TLF2","GEN_EMP_RAZ_EMAIL","GEN_EMP_RAZ_CON_NOMBRE","GEN_EMP_RAZ_CON_APELLIDO1","GEN_EMP_RAZ_CON_APELLIDO2","GEN_EMP_RAZ_CON_CARGO","GEN_EMP_RAZ_COD_PROV"
"E01012210","INDUSTRIA AUXILIAR ALAVESA, S.A.","POLIGONO INDUSTRIAL SARATXO","AMURRIO","01470","875893015","945893027","wesiz@inauxa.es/ inauxa@sea.es","VICTOR","GALLAGA","MOZOS","",""
"E01013078","TALLERES AUXILIARES METALURGICOS SA","P.I. LOS LLANOS","IRUÑA OKA/IRUÑA DE OCA","01230","875371200","","weslle@tauxme.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01015979","GARAJE YAS SA","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","AMURRIO","01470","875890334",""," ","IGNACIO","VALLE","SOLANO","","ARABA"
"E01018880","GARAJE YAS SA","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,5 ","01471","875890335","","","IGNACIO","VALLE","SOLANO","",""
"E01021781","GARAJE YAS SA","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,6","01472","875890336","","","IGNACIO","VALLE","SOLANO","","ARABA"
"E01024682","GARAJE YAS SA","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,7","01473","875890337",""," inauxa@sea.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01027583","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,8","01474","875890338","","weslle@tauxme.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01030484","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,9","01475","875890339","","weslle@tauxme.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01033385","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,10","01476","875890340","","inauxa@sea.es","VICTOR","GALLAGA","MOZOS","","ARABA"
"E01036286","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,11","01477","875890341","","weslle@tauxme.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01039187","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,12","01478","875890342","","weslle@tauxme.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01042088","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,13","01479","875890343","","wesiz@inauxa.es/ inauxa@sea.es","VICTOR","GALLAGA","MOZOS","","ARABA"
"E01044989","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,14","01480","875890344","","wesiz@inauxa.es/ inauxa@sea.es","IGNACIO","VALLE","SOLANO","","ARABA"
"E01047890","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,15","01481","875890345","","wesiz@inauxa.es/ inauxa@sea.es","VICTOR","GALLAGA","MOZOS","","ARABA"
"E01050791","INDUSTRIA AUXILIAR ALAVESA, S.A.","BO CL IRITXUSI, 1  01470  - (AMURRIO) - ALAVA 17","VITORIA,16","01482","875890346","","wesiz@inauxa.es/ inauxa@sea.es","IGNACIO","VALLE","SOLANO","","ARABA"
